Brand,Year,Title,Category,Price,Currency,Price in USD,Link,ID,City,State,Country,Condition,Frame Size,Wheel Size,Material,Front Travel,Rear Travel
Nukeproof,2020,2020 Nukeproof Mega 275RS ML,Enduro Bikes,$2200,GBP,2750.0,https://www.pinkbike.com/buysell/3590497/,3590497,Magherafelt,,Northern Ireland," Good - Used, Mechanically Sound            ", L            ," 27.5"" / 650B            ", Carbon Fiber            , 180 mm            ,
Lapierre,2017,2017 Lapierre Zesty AM 527 Carbon Full Suspension,Trail Bikes,$855,GBP,1068.75,https://www.pinkbike.com/buysell/3501385/,3501385,London,,United Kingdom," Good - Used, Mechanically Sound            ", M            ," 27.5"" / 650B            ", Carbon Fiber            , 150 mm            , 150 mm            
Yeti,2018,2018 Yeti SB5,Trail Bikes,$2750,EUR,2860.0,https://www.pinkbike.com/buysell/3423135/,3423135,Porto,,Portugal, Excellent - Lightly Ridden            , S            ," 27.5"" / 650B            ", Carbon Fiber            , 150 mm            , 130 mm            
Pipe Dream,2021,2021 PIPEDREAM FULL MOXIE LONGEST ENDURO/TRAIL BIKE,Enduro Bikes,$2100,GBP,2625.0,https://www.pinkbike.com/buysell/3621164/,3621164,Staffordshire,,United Kingdom, Excellent - Lightly Ridden            , L            ," 29""            ", Steel            , 140 mm            , 140 mm            
Specialized,2021,2021 Specialized Enduro Comp Carbon Full Suspension,Enduro Bikes,$1,EUR,1.04,https://www.pinkbike.com/buysell/3606154/,3606154,München,,Germany, Excellent - Lightly Ridden            , L            ," 29""            ", Carbon Fiber            , 170 mm            , 170 mm            
Trek,,"Trek slash 9.9, XL-L , barely used, FINAL PRICE DROP",Enduro Bikes,$2500,GBP,3125.0,https://www.pinkbike.com/buysell/3519291/,3519291,Herefordshire,,United Kingdom, Excellent - Lightly Ridden            , L            ," 29""            ", Carbon Fiber            , 160 mm            , 150 mm            
Trek,2021,2021 Trek slash 9.8 XL,Enduro Bikes,$3200,GBP,4000.0,https://www.pinkbike.com/buysell/3624547/,3624547,Wrexham,,United Kingdom, Excellent - Lightly Ridden            , XL            ," 29""            ", Carbon Fiber            , 170 mm            , 180 mm            
Norco,2019,2019 Norco fluid ht medium 27.5,Trail Bikes,$700,GBP,875.0,https://www.pinkbike.com/buysell/3630346/,3630346,Somerset,,United Kingdom," Good - Used, Mechanically Sound            ", M            ," 27.5"" / 650B            ", Aluminium            , 120 mm            , 0 mm (Hardtail)            
Transition,2020,2020 Transition Patrol Carbon Medium Blue,Enduro Bikes,$2100,GBP,2625.0,https://www.pinkbike.com/buysell/3601282/,3601282,Malvern,,United Kingdom," Good - Used, Mechanically Sound            ", M            ," 27.5"" / 650B            ", Carbon Fiber            , 170 mm            , 160 mm            
Canyon,2021,2021 Canyon torque:on 9,Ebikes - Mountain,$4200,GBP,5250.0,https://www.pinkbike.com/buysell/3630343/,3630343,Portsmouth,,United Kingdom," Good - Used, Mechanically Sound            ", M            ," 27.5"" / 650B            ", Aluminium            ,,
